index,company,total_filings,avg_salary
387,ADS ALLIANCE DATA SYSTEMS INC,1020.0,$103905
388,DB USA CORE CORPORATION,1020.0,$115015
389,ERNST & YOUNG US LLP,1018.0,$95346
390,AMENSYS INC,1016.0,$78188
391,AGREEYA SOLUTIONS INC,1015.0,$78882
392,AVANI TECHNOLOGY SOLUTIONS INC,1011.0,$77965
393,TECHDEMOCRACY LLC,1009.0,$87514
394,UT SOUTHWESTERN MEDICAL CENTER,1008.0,$70075
395,GILEAD SCIENCES INC,1007.0,$114113
396,SYSINTELLI INC,1007.0,$87806
397,TRANSUNION LLC,1003.0,$82878
398,COLLABERA INC,1000.0,$80267
399,WEILL CORNELL MEDICAL COLLEGE,999.0,$77671
400,SUNERA TECHNOLOGIES INC,999.0,$84872
401,INFORMATICA LLC,998.0,$118187
402,UNIVERSITY OF VIRGINIA,995.0,$71158
403,INFORMATION CONTROL COMPANY LLC,994.0,$89669
404,YBRANT TECHNOLOGIES LLC,990.0,$79588
405,AMAZON FULFILLMENT SERVICES INC,985.0,$126153
406,GLOBALLOGIC INC,984.0,$108897
407,ROBERT BOSCH LLC,984.0,$106937
408,BITWISE INC,977.0,$76514
409,NIC INFO TEK INC,976.0,$73773
410,VINTECH SOLUTIONS INC,974.0,$81697
411,MEMORIAL SLOAN-KETTERING CANCER CENTER,973.0,$90315
412,ILLUMINA INC,972.0,$100993
413,THE CURATORS OF THE UNIVERSITY OF MISSOURI,972.0,$86859
414,PPD DEVELOPMENT LP,969.0,$85844
415,HENRY FORD HEALTH SYSTEM,968.0,$110909
416,AKVARR INC,964.0,$71169
417,INNOVATIVE INTELLIGENT SOLUTIONS LLC,963.0,$83059
418,COX AUTOMOTIVE CORPORATE SERVICES LLC,962.0,$117027
419,WAYMO LLC,961.0,$164715
420,ROCKWELL COLLINS INC,961.0,$93392
421,NORTHSTAR GROUP INC,951.0,$70059
422,PURE STORAGE INC,950.0,$150157
423,IQVIA INC,948.0,$104606
424,VISTA APPLIED SOLUTIONS GROUP INC,947.0,$80349
425,BRISTOL-MYERS SQUIBB COMPANY,947.0,$119904
426,SEARS HOLDINGS MANAGEMENT CORPORATION,946.0,$104747
427,SONY INTERACTIVE ENTERTAINMENT LLC,946.0,$134229
428,KLA-TENCOR CORPORATION,944.0,$114368
429,THE GAP INC,942.0,$121611
430,UNITED SOFTWARE GROUP INC,942.0,$81767
431,TRW AUTOMOTIVE INC,942.0,$89582
432,DATAQUEST CORP,942.0,$80346
433,TRINGAPPS INC,941.0,$69905
434,ANALOG DEVICES INC,941.0,$94432
435,MONTEFIORE MEDICAL CENTER,939.0,$103277
436,ICONSOFT INC,939.0,$101028
437,JOHNSON CONTROLS INC,936.0,$87500
438,GOLDMAN SACHS BANK USA,932.0,$122358
439,ORPINE INC,932.0,$80456
440,HUGHES NETWORK SYSTEMS LLC,928.0,$91392
441,TECHNO-COMP INC,926.0,$85636
442,SAIBERSYS INC,923.0,$74554
443,NEW YORK TECHNOLOGY PARTNERS INC,920.0,$82749
444,DUKE UNIVERSITY AND MEDICAL CENTER,920.0,$75108
445,ELECTRONIC ARTS INC,917.0,$125248
446,SOFTVISION LLC,916.0,$86434
447,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,916.0,$121916
448,NORTH CAROLINA STATE UNIVERSITY,915.0,$64753
449,YASH & LUJAN CONSULTING INC,914.0,$79669
450,LAWRENCE BERKELEY NATIONAL LABORATORY,912.0,$91586
451,BOFA SECURITIES INC,911.0,$164080
452,DISH NETWORK LLC,911.0,$90769
453,EQUIFAX INC,910.0,$99335
454,MIRACLE SOFTWARE SYSYTEMS INC,908.0,$85121
455,XAVIENT INFORMATION SYSTEMS INC,908.0,$82445
456,UNIVERSITY OF WISCONSIN-MADISON,906.0,$66523
457,NCS PEARSON INC,905.0,$94240
458,CAMELOT INTEGRATED SOLUTIONS INC,903.0,$81590
459,ADROIX CORP,899.0,$78043
460,IBLESOFT INC,899.0,$70424
461,VSION TECHNOLOGIES INC,899.0,$85739
462,COOLSOFT LLC,895.0,$77010
463,SMART WORKS LLC,895.0,$84573
464,BATTELLE MEMORIAL INSTITUTE,895.0,$85952
465,DANA-FARBER CANCER INSTITUTE,894.0,$66702
466,GSPANN TECHNOLOGIES INC,893.0,$106430
467,LENDINGCLUB CORPORATION,890.0,$129984
468,BANK OF THE WEST,889.0,$113333
469,DGN TECHNOLOGIES INC,887.0,$108735
470,EXILANT TECHNOLOGIES PRIVATE LIMITED,884.0,$100943
471,CITICORP CREDIT SERVICES INC (USA),882.0,$119511
472,VISIONET SYSTEMS INC,880.0,$79194
473,CODESMART INC,879.0,$79437
474,INTALENT LLC,879.0,$70583
475,TEMPLE UNIVERSITY--A COMMONWEALTH UNIVERSITY,878.0,$88267
476,ARICENT TECHNOLOGIES (HOLDINGS) LTD,878.0,$97572
477,THE NIELSEN COMPANY (US) LLC,877.0,$104088
478,L&T TECHNOLOGY SERVICES LTD,877.0,$63435
479,KASTECH SOLUTIONS LLC,874.0,$87600
480,XAVIENT DIGITAL LLC,869.0,$97952
481,ARISTA NETWORKS INC,867.0,$119301
482,TWILIO INC,866.0,$155558
483,SAGITEC SOLUTIONS LLC,865.0,$94047
484,LOGIC PLANET CS INC,864.0,$68521
485,STARBUCKS COFFEE COMPANY,863.0,$125071
486,SIRITEK INC,862.0,$85174
487,AIG EMPLOYEE SERVICES INC,861.0,$108052
488,SQA CONCEPTS INC,860.0,$79981
489,UHCP D/B/A UPMC MEDICAL EDUCATION,858.0,$61665
490,SAVANTIS SOLUTIONS LLC,857.0,$92315
491,CORNELL UNIVERSITY,855.0,$81038
492,VALUELABS INC,854.0,$87740
493,KRONSYS INC,854.0,$73261
494,SRIVEN SYSTEMS INC,852.0,$81751
495,MICROINFO INC,851.0,$72018
496,SCHNEIDER ELECTRIC USA INC,850.0,$84602
497,SAMSUNG RESEARCH AMERICA INC,849.0,$134726
498,CLOUD BIG DATA TECHNOLOGIES LLC,847.0,$78535
499,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,847.0,$110685
500,I28 TECHNOLOGIES CORPORATION,847.0,$72233
501,COMTEC CONSULTANTS INC,843.0,$93548
502,ARIBA INC,843.0,$122300
503,LARSEN & TOUBRO TECHNOLOGY SERVICES LTD,843.0,$61422
504,LATENTVIEW ANALYTICS CORPORATION,843.0,$101412
505,HALLIBURTON ENERGY SERVICES INC,843.0,$102786
506,F5 NETWORKS INC,842.0,$119432
507,UNIVERSITY OF HOUSTON SYSTEM,842.0,$70449
508,HP INC,841.0,$114454
509,ANSYS INC,840.0,$94450
510,UNIVERSITY OF KENTUCKY,839.0,$111126
511,BECTON DICKINSON AND COMPANY,838.0,$110072
512,ADAEQUARE INC,836.0,$81695
513,ASURION LLC,836.0,$113951
